a0,b1,c2,d3,e4,f5
1,103,MPUI_COUNTRY_US,US,13,18
2,6,MPUI_COUNTRY_AUSTRALIA,AU,13,18
3,5,MPUI_COUNTRY_AUSTRIA,AT,13,18
4,8,MPUI_COUNTRY_BELGIUM,BE,13,18
5,13,MPUI_COUNTRY_BRAZIL,BR,13,18
6,16,MPUI_COUNTRY_CANADA,CA,13,18
7,23,MPUI_COUNTRY_CZECH_REP,CZ,13,18
8,25,MPUI_COUNTRY_DENMARK,DK,13,18
9,32,MPUI_COUNTRY_FINLAND,FI,13,18
10,34,MPUI_COUNTRY_FRANCE,FR,13,18
11,24,MPUI_COUNTRY_GERMANY,DE,13,18
12,37,MPUI_COUNTRY_GREECE,GR,13,18
13,42,MPUI_COUNTRY_HUNGARY,HU,13,18
14,44,MPUI_COUNTRY_IRELAND,IE,13,18
15,50,MPUI_COUNTRY_ITALY,IT,13,18
16,71,MPUI_COUNTRY_MEXICO,MX,13,18
17,74,MPUI_COUNTRY_NETHERLANDS,NL,13,18
18,76,MPUI_COUNTRY_NEW_ZEALAND,NZ,13,18
19,75,MPUI_COUNTRY_NORWAY,NO,13,18
20,82,MPUI_COUNTRY_POLAND,PL,13,18
21,84,MPUI_COUNTRY_PORTUGAL,PT,13,18
22,88,MPUI_COUNTRY_RUSSIAN_FED,RU,13,18
23,31,MPUI_COUNTRY_SPAIN,ES,13,18
24,90,MPUI_COUNTRY_SWEDEN,SE,13,18
25,18,MPUI_COUNTRY_SWITZERLAND,CH,13,18
26,35,MPUI_COUNTRY_GREAT_BRITAIN,GB,13,18
